edition_year,info,name,price,publisher,ratings
2011-6,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,百年孤独,39.50元,范晔,8.9
2003-1,郭敬明 / 春风文艺出版社 / 2003-1 / 28.00元,幻城,28.00元,春风文艺出版社,8.2
2007-8,辛夷坞 / 朝华出版社 / 2007-8 / 25.00元,致我们终将逝去的青春,25.00元,朝华出版社,8.2
2015-5-1,[美] 加·泽文 / 孙仲旭 / 江苏凤凰文艺出版社 / 2015-5-1 / CNY 35.00,岛上书店,CNY 35.00,孙仲旭,7.1
2009-1,唐七公子 / 沈阳出版社 / 2009-1 / 26.80,三生三世 十里桃花,26.80,沈阳出版社,7.1
2004-1,江南 / 华文出版社 / 2004-1 / 25.00元,此间的少年,25.00元,华文出版社,8.6
2007-6,宋鸿兵 编著 / 中信出版社 / 2007-6 / 38.00元,货币战争,38.00元,中信出版社,8.6
2009-3-1,[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,牧羊少年奇幻之旅,25.00元,丁文林,8.4
1981-8,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,福尔摩斯探案全集（上中下）,53.00元/68.00元,丁钟华 等,8.4
1996-12,[英] 奥斯丁 / 王科一 / 上海译文出版社 / 1996-12 / 11.00元,傲慢与偏见,11.00元,王科一,8.2
2010-2,[英] 伊恩·麦克尤恩 / 潘帕 / 南京大学出版社 / 2010-2 / 22.00元,最初的爱情 最后的仪式,22.00元,潘帕,8.2
1997-12,陈忠实 / 人民文学出版社 / 1997-12 / 28.00元,白鹿原,28.00元,人民文学出版社,7.8
2006-6,[美国] 桑德拉·希斯内罗丝 / 潘帕 / 译林出版社 / 2006-6 / 24.50元,芒果街上的小屋,24.50元,潘帕,7.8
2011-1,[日] 村上春树 / 施小炜 / 南海出版公司 / 2011-1 / 39.50元,1Q84 BOOK 3,39.50元,施小炜,8.6
2006-12,[日] 岩井俊二 / 张苓 / 天津人民出版社 / 2006-12 / 28.00元,关于莉莉周的一切,28.00元,张苓,8.6
2007-7,[美] 卡罗琳·帕克丝特 / 何致和 / 南海出版公司 / 2007-7 / 22.00元,巴别塔之犬,22.00元,何致和,9.0
2005-5,[德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元,香水,20.00元,李清华,9.0
2010-9,韩寒 / 国际文化出版公司 / 2010-9 / 25.00元,1988：我想和这个世界谈谈,25.00元,国际文化出版公司,8.9
2007-4,顾漫 / 朝华出版社 / 2007-4 / 15.00元,何以笙箫默,15.00元,朝华出版社,8.9
2010-5,[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元,1Q84 BOOK 1,36.00元,施小炜,8.2
2004-4,姜戎 / 长江文艺出版社 / 2004-4 / 32.00元,狼图腾,32.00元,长江文艺出版社,8.2
2003-4,[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元,海边的卡夫卡,25.00元,林少华,7.1
2001-4,余秋雨 / 东方出版中心 / 2001-4 / 22.00元,文化苦旅,22.00元,东方出版中心,7.1
2007-2,匪我思存 / 新世界出版社 / 2007-2 / 20.00元,佳期如梦,20.00元,新世界出版社,8.6
2014-11-1,[以色列]尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11-1 / CNY 68.00,人类简史,CNY 68.00,林俊宏,8.6
2008-10,郭敬明 / 长江文艺出版社 / 2008-10 / 29.80元,小时代1.0折纸时代,29.80元,长江文艺出版社,8.4
2005-12,[美] 弗拉基米尔·纳博科夫 / 主万 / 上海译文出版社 / 2005-12 / 27.00元,洛丽塔,27.00元,主万,8.4
2006-11,天下霸唱 / 安徽文艺出版社 / 2006-11 / 26.80元,鬼吹灯之云南虫谷,26.80元,安徽文艺出版社,8.2
2009-4,当年明月 / 中国海关出版社 / 2009-4 / 29.80元,明朝那些事儿（柒）：大结局,29.80元,中国海关出版社,8.2
2007-6,（法）莫泊桑 / 柳鸣九 / 北京燕山出版社 / 2007-6 / 13.50元,羊脂球,13.50元,柳鸣九,7.8
2002-1,[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元,鲁滨逊漂流记,9.20元,马静,7.8
1999-12,藤子・F・不二雄 / 碧日 / 吉林美术出版社 / 1999-12 / 8.00,机器猫哆啦A梦23,8.00,碧日,8.6
2003-7,鲁迅 / 上海书店出版社 / 2003-7 / 14.50元,阿Q正传,14.50元,上海书店出版社,8.6
2007-6,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,梦里花落知多少,28.00元,北京十月文艺出版社,9.0
2006-4,王小波 / 北方文艺出版社 / 2006-4 / 18.80元,一只特立独行的猪,18.80元,北方文艺出版社,9.0
2005-1,路遥 / 人民文学出版社 / 2005-1 / 64.00元,平凡的世界（全三部）,64.00元,人民文学出版社,8.9
2003-11,[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元,简爱（英文全本）,18.00元,世界图书出版公司,8.9
2009-8,顾漫 / 江苏文艺出版社 / 2009-8 / 25.00,微微一笑很倾城,25.00,江苏文艺出版社,8.2
2010-7-6,韩寒 主编 / 书海出版社 / 2010-7-6 / 16.00元,独唱团（第一辑）,16.00元,书海出版社,8.2
1991-12-1,大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,基督山伯爵,43.90元,周克希,7.1
2003-1,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,窗边的小豆豆,20.00元,赵玉皎,7.1
2008-3,[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,无人生还,19.00,祁阿红,8.6
2004-12-1,高木直子 / 洪俞君 / 大田 / 2004-12-1 / NT$220,一個人住第5年,NT$220,洪俞君,8.6
1989-10,[哥伦比亚] 加西亚·马尔克斯 / 黄锦炎 / 上海译文出版社 / 1989-10 / 12.70元,百年孤独,12.70元,黄锦炎,8.4
2010-6,[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-6 / 36.00元,1Q84 BOOK 2,36.00元,施小炜,8.4
2009-6,李笑来 / 电子工业出版社 / 2009-6 / 32.00元,把时间当作朋友,32.00元,电子工业出版社,8.2
2008-11,[澳] 朗达·拜恩 / 谢明宪 / 中国城市出版社 / 2008-11 / 32.00,秘密,32.00,谢明宪,8.2
2005-1,[日] 井上雄彦 / 邹宁 / 长春出版社 / 2005-1 / 7.50元,灌篮高手31,7.50元,邹宁,7.8
2003-8,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,撒哈拉的故事,15.80元,哈尔滨出版社,7.8
2014-9-1,大冰 / 湖南文艺出版社 / 2014-9-1 / 36.00元,乖，摸摸头,36.00元,湖南文艺出版社,8.6
2007-1,七堇年 / 长江文艺出版社 / 2007-1 / 22.00元,大地之灯,22.00元,长江文艺出版社,8.6
2010-9,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-9 / 22.00元,局外人,22.00元,柳鸣九,9.0
2013-9-1,【英】蕾秋·乔伊斯 / 黄妙瑜 / 北京联合出版公司 / 2013-9-1 / 32.80,一个人的朝圣,32.80,黄妙瑜,9.0
2000-9,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元,哈利·波特与魔法石,19.50元,苏农,8.9
2013-1-1,东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,白夜行,39.50元,刘姿君,8.9
2006-3,安妮宝贝 / 作家出版社 / 2006-3 / 25.00元,莲花,25.00元,作家出版社,8.2
2001-5,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2001-5 / 39.80元,哈利·波特与火焰杯,39.80元,马爱新,8.2
1998-05,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,三国演义（全二册）,39.50元,人民文学出版社,7.1
1999-3,王小波 / 花城出版社 / 1999-3 / 19.00元,黄金时代,19.00元,花城出版社,7.1
2004-06,菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元,了不起的盖茨比,12.00元,姚乃强,8.6
2007-4,[美] 奥德丽·尼芬格 / 夏金 / 人民文学出版社 / 2007-4 / 29.90元,时间旅行者的妻子,29.90元,夏金,8.6
2007-9,安妮宝贝 / 作家出版社 / 2007-9 / 27.00元,素年锦时,27.00元,作家出版社,8.4
2004-7,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,情书,18.00元,穆晓芳,8.4
2005-2,[美] 丹.布朗 / 朱振武 / 人民文学出版社 / 2005-2 / 29.80元,天使与魔鬼,29.80元,朱振武,8.2
2010-9,古典 / 中国书店 / 2010-9 / 29.80元,拆掉思维里的墙,29.80元,中国书店,8.2
1982-6,[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元,巴黎圣母院,22.50元,陈敬容,7.8
2006-7,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,肖申克的救赎,29.90元,施寄青,7.8
2015-6-1,[英]克莱儿·麦克福尔 / 付强 / 百花洲文艺出版社 / 2015-6-1 / 36.00,摆渡人,36.00,付强,8.6
2009-07-01,王小波 / 陕西师范大学出版社 / 2009-07-01 / 23.00元,黄金时代,23.00元,陕西师范大学出版社,8.6
2011-10-24,[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元,史蒂夫·乔布斯传,68.00元,管延圻,9.0
2006-8,[意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元,看不见的城市,16.00元,张宓,9.0
2008-5,刘慈欣 / 重庆出版社 / 2008-5 / 32.00,三体Ⅱ,32.00,重庆出版社,8.9
2000-9,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,飘,40.00元,李美华,8.9
2002-4,沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元,边城,12.00元,北岳文艺出版社,8.2
2006-8,[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,月亮和六便士,15.00元,傅惟慈,8.2
2000-1,安妮宝贝 / 中国社会科学出版社 / 2000-1 / 19.00,告别薇安,19.00,中国社会科学出版社,8.6
2009-1,梁文道 / 广西师范大学出版社 / 2009-1 / 38.00,常识,38.00,广西师范大学出版社,8.6
1999-11-1,蔡智恒 / 知识出版社 / 1999-11-1 / 12.80,第一次的亲密接触,12.80,知识出版社,8.4
1994-5,金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,神雕侠侣,76.80元,有1996年11月北平第4次印本,8.4
2008-11,当年明月 / 中国海关出版社 / 2008-11 / 28.80,明朝那些事儿（陆）,28.80,中国海关出版社,8.2
2010-6,李海鹏 / 文化艺术出版社 / 2010-6 / 25.00元,佛祖在一号线,25.00元,文化艺术出版社,8.2
2007-3,[美国] J. D. 塞林格 / 孙仲旭 / 译林出版社 / 2007-3 / 28.00元,麦田里的守望者,28.00元,孙仲旭,7.8
2015-7,[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元,无声告白,35.00元,孙璐,7.8
2008-3,当年明月 / 中国友谊出版公司 / 2008-3 / 28.80,明朝那些事儿（伍）,28.80,中国友谊出版公司,8.6
2000-3-1,老舍 / 人民文学出版社 / 2000-3-1 / 12.00,骆驼祥子,12.00,人民文学出版社,8.6
2003-8,王安忆 / 南海出版公司 / 2003-8 / 22.00元,长恨歌,22.00元,南海出版公司,9.0
2008-1,九夜茴 / 东方出版社 / 2008-1 / 29.00,匆匆那年（上下）,29.00,东方出版社,9.0
2010-1,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,送你一颗子弹,25.00元,上海三联书店,8.9
2010-11,刘慈欣 / 重庆出版社 / 2010-11 / 38.00元,三体Ⅲ,38.00元,重庆出版社,8.9
2002-8,幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元,向左走·向右走,16.00元,生活·读书·新知三联书店,8.2
2012-8,余华 / 作家出版社 / 2012-8 / 20.00元,活着,20.00元,作家出版社,8.2
2008-5,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,爱你就像爱生命,18.00元,上海锦绣文章出版社,8.6
2011-1-7,三毛 / 北京十月文艺出版社 / 2011-1-7 / 24.00元,撒哈拉的故事,24.00元,北京十月文艺出版社,8.6
2006-1,韩寒 / 二十一世纪出版社 / 2006-1 / 19.90元,一座城池,19.90元,二十一世纪出版社,8.4
1997-3,小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元,茶花女,9.00元,王振孙,8.4
1999-04,金庸 / 三联书店 / 1999-04 / 0,倚天屠龙记(共四册),0,三联书店,8.2
2009-1,hans / 上海锦绣文章出版社 / 2009-1 / 36.80元,阿狸·梦之城堡,36.80元,上海锦绣文章出版社,8.2
2007-11,南派三叔 / 中国友谊出版公司 / 2007-11 / 26.80元,盗墓笔记3,26.80元,中国友谊出版公司,8.6
2003-7,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元,麦琪的礼物,25.00元,张经浩,8.6
2004-1,孙睿 / 远方出版社 / 2004-1 / 19.50元,草样年华,19.50元,远方出版社,9.0
2004-1,章诒和 / 人民文学出版社 / 2004-1 / 35.00元,往事并不如烟,35.00元,人民文学出版社,9.0
1988-12-1,霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00,穆斯林的葬礼,32.00,北京十月文艺出版社,8.2
2006-6,桐华 / 民族出版社 / 2006-6 / 25.00元,步步惊心,25.00元,民族出版社,8.6
2014-12-1,蔡崇达 / 天津人民出版社 / 2014-12-1 / 39.80元,皮囊,39.80元,天津人民出版社,8.6
1997-2,[美国] J. D. 塞林格 / 施咸荣 / 译林出版社 / 1997-2 / 7.80元,麦田里的守望者,7.80元,施咸荣,8.4
2009-1,韩寒 / 万卷出版公司 / 2009-1 / 25.00元,他的国,25.00元,万卷出版公司,8.4
2009-1,李可 / 陕西师范大学出版社 / 2009-1 / 28.00,杜拉拉2华年似水,28.00,陕西师范大学出版社,8.2
2007-12,落落 / 长江文艺出版社 / 2007-12 / 22.00,不朽,22.00,长江文艺出版社,8.2
1994-11,格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,格林童话全集,21.45元,魏以新,8.6
2004-1,[美] 莫提默·J. 艾德勒 / 郝明义 / 商务印书馆 / 2004-1 / 38.00元,如何阅读一本书,38.00元,郝明义,8.6
2002-8,安妮宝贝 / 作家出版社 / 2002-8 / 18.00元,蔷薇岛屿,18.00元,作家出版社,9.0
2004-10,寂地 / 北方妇女儿童出版社 / 2004-10 / 20.00元,我的路,20.00元,北方妇女儿童出版社,9.0
2004-1,安妮宝贝 / 南海出版公司 / 2004-1 / 20.00元,二三事,20.00元,南海出版公司,8.6
2006-3,余华 / 上海文艺出版社 / 2006-3 / 27.00元,兄弟（下）,27.00元,上海文艺出版社,8.6
2010-1,[美] 雷蒙德·卡佛 / 小二 / 译林出版社 / 2010-1 / 22.00元,当我们谈论爱情时我们在谈论什么,22.00元,小二,8.6
1998-3-1,阿来 / 人民文学出版社 / 1998-3-1 / 22.0,尘埃落定,22.0,人民文学出版社,8.6
2009-10-1,蒋勋 / 广西师范大学出版社 / 2009-10-1 / 36.00元,孤独六讲,36.00元,广西师范大学出版社,8.6
1998-01,(法)古斯塔夫.勒庞 / 冯克利 / 中央编译出版社 / 1998-01 / 16.00元,乌合之众,16.00元,冯克利,8.6
2005-1,张悦然 / 作家出版社 / 2005-1 / 19.00元,水仙已乘鲤鱼去,19.00元,作家出版社,8.6
1997-5,林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元,历史深处的忧虑,19.00元,生活·读书·新知三联书店,8.6
2007-4,南派三叔 / 中国友谊出版公司 / 2007-4 / 26.80元,盗墓笔记2,26.80元,中国友谊出版公司,8.6
2007-9,当年明月 / 中国友谊出版公司 / 2007-9 / 24.80,明朝那些事儿（肆）,24.80,中国友谊出版公司,8.6
2010-1,鲍鲸鲸 / 中信出版社 / 2010-1 / 25.00元,失恋33天,25.00元,中信出版社,8.6
2007-3,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,动物农场,10.00元,荣如德,8.6
2006-2,饶雪漫 / 当代世界出版社 / 2006-2 / 22.00元,左耳,22.00元,当代世界出版社,8.6
2008-3,金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,鹿鼎记（全五册）,108.00元,广州出版社 花城出版社,8.6
